from_cbsa_info_CBSA Name,from_CBSA,from_CBSA_ID,from_state,to_cbsa_info_CBSA Name,to_CBSA,to_CBSA_ID,to_state,Total Perm,Total Temp,from_num_households,to_num_households
Anchorage,"Anchorage, AK",310M400US11260, AK,Colorado Springs,"Colorado Springs, CO",310M400US17820, CO,89.00,0.00,137784.00,267755.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Houston-The Woodlands-Sugar Land,"Houston-The Woodlands-Sugar Land, TX",310M400US26420, TX,97.00,0.00,137784.00,2352275.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Las Vegas-Henderson-Paradise,"Las Vegas-Henderson-Paradise, NV",310M400US29820, NV,207.00,37.00,137784.00,783524.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Phoenix-Mesa-Chandler,"Phoenix-Mesa-Chandler, AZ",310M400US38060, AZ,306.00,349.00,137784.00,1693396.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Seattle-Tacoma-Bellevue,"Seattle-Tacoma-Bellevue, WA",310M400US42660, WA,252.00,13.00,137784.00,1499147.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Spokane-Spokane Valley,"Spokane-Spokane Valley, WA",310M400US44060, WA,51.00,0.00,137784.00,220365.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Tucson,"Tucson, AZ",310M400US46060, AZ,27.00,129.00,137784.00,404739.00
Anchorage,"Anchorage, AK",310M400US11260, AK,Urban Honolulu,"Urban Honolulu, HI",310M400US46520, HI,41.00,13.00,137784.00,312795.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,18473.00,1195.00,141245.00,141245.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Boston-Cambridge-Newton,"Boston-Cambridge-Newton, MA-NH",310M400US14460, MA-NH,118.00,0.00,141245.00,1831217.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",310M400US15980, FL,0.00,144.00,141245.00,275965.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Chicago-Naperville-Elgin,"Chicago-Naperville-Elgin, IL-IN-WI",310M400US16980, IL-IN-WI,411.00,0.00,141245.00,3514621.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Columbus,"Columbus, OH",310M400US18140, OH,68.00,0.00,141245.00,794449.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Detroit-Warren-Dearborn,"Detroit-Warren-Dearborn, MI",310M400US19820, MI,5930.00,356.00,141245.00,1703819.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Flint,"Flint, MI",310M400US22420, MI,228.00,0.00,141245.00,167902.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Grand Rapids-Kentwood,"Grand Rapids-Kentwood, MI",310M400US24340, MI,273.00,0.00,141245.00,391233.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Kalamazoo-Portage,"Kalamazoo-Portage, MI",310M400US28020, MI,121.00,0.00,141245.00,103445.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Lansing-East Lansing,"Lansing-East Lansing, MI",310M400US29620, MI,279.00,0.00,141245.00,214641.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Los Angeles-Long Beach-Anaheim,"Los Angeles-Long Beach-Anaheim, CA",310M400US31080, CA,200.00,11.00,141245.00,4354287.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Madison,"Madison, WI",310M400US31540, WI,52.00,0.00,141245.00,271938.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Naples-Marco Island,"Naples-Marco Island, FL",310M400US34940, FL,0.00,77.00,141245.00,142979.00
Los Angeles-Long Beach-Anaheim,"Los Angeles-Long Beach-Anaheim, CA",310M400US31080, CA,New York-Newark-Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",310M400US35620, NY-NJ-PA,5603.00,1076.00,4354287.00,6997001.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,North Port-Sarasota-Bradenton,"North Port-Sarasota-Bradenton, FL",310M400US35840, FL,0.00,186.00,141245.00,328198.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Phoenix-Mesa-Chandler,"Phoenix-Mesa-Chandler, AZ",310M400US38060, AZ,101.00,76.00,141245.00,1693396.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,San Francisco-Oakland-Berkeley,"San Francisco-Oakland-Berkeley, CA",310M400US41860, CA,68.00,0.00,141245.00,1703275.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,San Jose-Sunnyvale-Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",310M400US41940, CA,109.00,0.00,141245.00,658350.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Seattle-Tacoma-Bellevue,"Seattle-Tacoma-Bellevue, WA",310M400US42660, WA,192.00,0.00,141245.00,1499147.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Tampa-St. Petersburg-Clearwater,"Tampa-St. Petersburg-Clearwater, FL",310M400US45300, FL,0.00,96.00,141245.00,1213267.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Toledo,"Toledo, OH",310M400US45780, OH,95.00,0.00,141245.00,265076.00
Ann Arbor,"Ann Arbor, MI",310M400US11460, MI,Washington-Arlington-Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",310M400US47900, DC-VA-MD-WV,92.00,0.00,141245.00,2216997.00
Asheville,"Asheville, NC",310M400US11700, NC,Asheville,"Asheville, NC",310M400US11700, NC,31454.00,1228.00,191756.00,191756.00
